id,title,content
99,suy giãn tĩnh mạch,"Khi gặp suy giãn tĩnh mạch việc đầu tiên mình cần làm là đến cơ sở y tế, thăm khám và tuân thủ điều trị của bác sĩ chuyên khoa, tuỳ vào mức độ sẽ có Phương Pháp điều trị thích hợp như đi tất áp lực, thuốc hay phẫu thuật.Người bệnh cần hạn chế đứng hoặc đi lại quá nhiều, không mặc quần áo chật quá. Cần ăn nhiều chất xơ, vitamin đặc biệt là vitamin C1 trong những nguyên nhân gây ra chứng giãn tĩnh mạch là do thiếu vitamin d3,k2- Vitamin d3 giúp giữ cho các động mạch, mạch máu đàn hồi, thư giãn, giúp máu lưu thông tốt- Vitamin k2 giúp làm sạch mạch máu, tốc độ xử lí nhanh hơn từ đấy làm giảm tình trạng giãn tĩnh mạch đáng kểDùng Midu 180 2 ống / ngày trong 6 tháng để hỗ trợ c nhé"
100,D3 quá liều,"- Theo khuyến nghị (RDA) hàm lượng vtm D3 cho trẻ ss-1y là 400 IU, người lơn từ 600-800IU , đây liều lượng RDA tính theo đơn chất vitamin D3 còn trên thực tế sản phẩm chúng ta bổ sung vào là sự kết hợp của nhiều hợp chất và có thể sự hấp thu vitamin D3 cũng bị ảnh hưởng bởi các chất khác. - Vitamin D3 tự nhiên được tổng hợp trong da khi tiếp xúc với ánh nắng. Mỗi 10-15 phút tắm nắng có thể hấp thu tối đa lên đến 15.000 đơn vị vitamin D3 mà vẫn không gây ngộ độc. - Vtm D3 giúp canxi được hấp thụ từ ruột vào máu, triệu chứng của ngộ độc D3 bản chất là do nồng độ canxi trong máu tăng.Khi hàm lượng canxi trong máu tăng cao hơn mức bình thường sẽ gây ra nhiều hậu quả nghiêm trọng. Đó là lý do vì sao trong sản phẩm của Midu có vitamin K2 với hàm lượng tối thiểu 180mcg-giúp kích hoạt kênh vận chuyển canxi từ máu đến xương. Từ đó, làm giảm nồng độ canxi trong máu do canxi được vận vận chuyển đến đúng đích lưu trữ."
101,Hydroxyapatite,"99% anh chị tra cứu thông tin quảng cáo về canxi Hydroxyapatite đều đươc quảng cáo là canxi hữu cơ, nhưng không phải như vậy, Hydroxyapatite có công thức hóa học là Ca5(PO4)3(OH), là một dạng canxi phosphate tồn tại tự nhiên trong xương và răng của con người. Vì vậy, theo định nghĩa hóa học, Hydroxyapatite được xem là một chất vô cơ.Hydroxyapatite là một phức hợp khoáng chất có nguồn gốc từ xương bò. Trong hydroxyapatite, canxi liên kết với phốt pho. (Đây là dạng chính của canxi lưu trữ trong xương.) Nghe có vẻ tuyệt vời cho xương, nhưng có một điều đáng lưu ý.Khi tiêu thụ canxi, canxi và photpho từ liên kết với nhau thì bây giờ sẽ được tác nhau ra trước khi cả 2 được hấp thu, chính vì thế nó vô tình làm chúng ta hấp thu nhiều photpho hơn.Nghiên cứu cho thấy quá nhiều phốt pho trong chế độ ăn uống có thể là yếu tố nguy cơ gây bệnh tim mạch và thận . Hơn nữa, một nghiên cứu phát hiện ra rằng nguy cơ gãy xương tăng 9% cho mỗi 100 mg phốt pho hấp thụ. Canxi cũng chỉ là 1 vấn đề nhỏ cần xét đến thôi a, dù bất kỳ loại canxi nào, tốt đến đâu mà ko có chất chuyển hoá canxi là vô nghĩa, thậm chí còn gây hại."
102,Canxi sữa Bio Island,"ngoài ra, bio island trên nhãn của nó ghi là milk canxi, nên nhiều người cũng hiểu lầm nó có nguồn gốc từ sữa, nhưng thực tế là vỏ bao bên ngoài của viên canxi là sữa chứ ko phải nguồn gốc từ sữa. tổng hợp tất cả yếu tố trên làm mn dễ hiểu lầm ạ."
103,Nhãn hiệu MenaQ7,"Trước hết, Midu xin khẳng định chưa bao giờ nói Midu là độc quyền MenaQ7 của Natto Pharma. Midu chỉ là đơn vị duy nhất tại Việt Nam có kí kết hợp tác chiến lược với Natto Pharma trước đây là Lesaffre sau này. Đồng thời là đơn vị duy nhất (tới thời điểm này) được hãng đồng ý bằng văn bản sử dụng trademark trên sản phẩm và các tài liệu truyền thông. Các công ty khác vẫn có thể mua MenaQ7 thông qua một nhà phân phối nào đó. Tuy nhiên việc họ sử dụng nhãn hiệu MenaQ7 trên bao bì có thể có dấu hiệu vi phạm.Midu sẽ phối hợp với Gnosis by Lesaffre để làm việc với các công ty đang có sản phẩm có sử dụng nhãn hiệu MenaQ7 đặc biệt là các công ty có dấu hiệu làm sản phẩm nhái kiểu dáng của sản phẩm Midu."
104,,
105,,
106,,
107,,
108,,
109,Thuốc sỉ,"Chào anh chị, Thuốc sỉ cũng là 1 sàn thương mại giống như Droppii thôi. Nhưng điều kiện của sàn Thuốc sĩ khắt khe hơn sàn Droppii nhiều (Những người có đăng ký kinh doanh là chủ nhà thuốc, có bằng dược họ mới được cấp tài khoản) Ví dụ hàng Midu 180 các chủ nhà thuốc được mua với giá 271.200 VNĐ. Còn đại lý Droppii đang được mua với giá: 246.600 VNĐSản phẩm 360 -30v với giá 372.500 VNĐ. Còn đại lý Droppii: 341.600 VNĐChủ nhà thuốc họ cũng như các chị cũng được coi là 1 đại lý, ngoài ra chủ nhà thuốc họ còn phải bỏ vốn, bỏ mặt bằng, nhân sự nữa.Vậy thử hỏi ai là người được lợi hơn ạ?Từ trước đến này Midu luôn có chính sách tốt nhất cho sàn Droppii. Vậy em đang không hiểu các chị thắc mắc điều gì ạ?"
110,Thiếu men G6PD có dùng được Midu không,"Thiếu men G6PD vẫn dùng được Midu và arginine, nhưng không dùng được vitamin C."
111,Aquamin F,"Aquamin F là nguồn khoáng chất tự nhiên được sản xuất từ ​​tảo biển vôi (Lithothamnion sp.) còn Lithothamnion calcareum là một loại tảo đỏ thuộc họ Corallinacea có đặc điểm chính là hình thành kết tủa canxi cacbonat trong thành tế bào. => cái aquamin F này trong nhiều sp, c em lưu lại để tl nhé"
